Script Name,Code,Number,Unnamed: 3,*ISO-15924 script codes: https://www.iso.org/standard/29546.html
Adlam,Adlm,166,,
Afaka,Afak,439,,
Caucasian Albanian,Aghb,239,,
"Ahom, Tai Ahom",Ahom,338,,
Arabic,Arab,160,,
Arabic (Nastaliq variant),Aran,161,,
Imperial Aramaic,Armi,124,,
Armenian,Armn,230,,
Avestan,Avst,134,,
Balinese,Bali,360,,
Bamum,Bamu,435,,
Bassa Vah,Bass,259,,
Batak,Batk,365,,
Bengali (Bangla),Beng,325,,
Bhaiksuki,Bhks,334,,
Blissymbols,Blis,550,,
Bopomofo,Bopo,285,,
Brahmi,Brah,300,,
Braille,Brai,570,,
Buginese,Bugi,367,,
Buhid,Buhd,372,,
Chakma,Cakm,349,,
Unified Canadian Aboriginal Syllabics,Cans,440,,
Carian,Cari,201,,
Cham,Cham,358,,
Cherokee,Cher,445,,
Cirth,Cirt,291,,
Coptic,Copt,204,,
Cypro-Minoan,Cpmn,402,,
Cypriot syllabary,Cprt,403,,
Cyrillic,Cyrl,220,,
Cyrillic (Old Church Slavonic variant),Cyrs,221,,
Devanagari (Nagari),Deva,315,,
Dogra,Dogr,328,,
Deseret (Mormon),Dsrt,250,,
"Duployan shorthand, Duployan stenography",Dupl,755,,
Egyptian demotic,Egyd,70,,
Egyptian hieratic,Egyh,60,,
Egyptian hieroglyphs,Egyp,50,,
Elbasan,Elba,226,,
Ethiopic (Geʻez),Ethi,430,,
Khutsuri (Asomtavruli and Nuskhuri),Geok,241,,
Georgian (Mkhedruli and Mtavruli),Geor,240,,
Glagolitic,Glag,225,,
Gunjala Gondi,Gong,312,,
Masaram Gondi,Gonm,313,,
Gothic,Goth,206,,
Grantha,Gran,343,,
Greek,Grek,200,,
Gujarati,Gujr,320,,
Gurmukhi,Guru,310,,
Han with Bopomofo (alias for Han + Bopomofo),Hanb,503,,
"Hangul (Hangŭl, Hangeul)",Hang,286,,
"Han (Hanzi, Kanji, Hanja)",Hani,500,,
Hanunoo (Hanunóo),Hano,371,,
Han (Simplified variant),Hans,501,,
Han (Traditional variant),Hant,502,,
Hatran,Hatr,127,,
Hebrew,Hebr,125,,
Hiragana,Hira,410,,
"Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)",Hluw,80,,
Pahawh Hmong,Hmng,450,,
Nyiakeng Puachue Hmong,Hmnp,451,,
Japanese syllabaries (alias for Hiragana + Katakana),Hrkt,412,,
Old Hungarian (Hungarian Runic),Hung,176,,
Indus (Harappan),Inds,610,,
"Old Italic (Etruscan, Oscan, etc.)",Ital,210,,
Jamo (alias for Jamo subset of Hangul),Jamo,284,,
Javanese,Java,361,,
Japanese (alias for Han + Hiragana + Katakana),Jpan,413,,
Jurchen,Jurc,510,,
Kayah Li,Kali,357,,
Katakana,Kana,411,,
Kharoshthi,Khar,305,,
Khmer,Khmr,355,,
Khojki,Khoj,322,,
Khitan large script,Kitl,505,,
Khitan small script,Kits,288,,
Kannada,Knda,345,,
Korean (alias for Hangul + Han),Kore,287,,
Kpelle,Kpel,436,,
Kaithi,Kthi,317,,
Tai Tham (Lanna),Lana,351,,
Lao,Laoo,356,,
Latin (Fraktur variant),Latf,217,,
Latin (Gaelic variant),Latg,216,,
Latin,Latn,215,,
Leke,Leke,364,,
Lepcha (Róng),Lepc,335,,
Limbu,Limb,336,,
Linear A,Lina,400,,
Linear B,Linb,401,,
Lisu (Fraser),Lisu,399,,
Loma,Loma,437,,
Lycian,Lyci,202,,
Lydian,Lydi,116,,
Mahajani,Mahj,314,,
Makasar,Maka,366,,
"Mandaic, Mandaean",Mand,140,,
Manichaean,Mani,139,,
Marchen,Marc,332,,
Mayan hieroglyphs,Maya,90,,
"Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)",Medf,265,,
Mende Kikakui,Mend,438,,
Meroitic Cursive,Merc,101,,
Meroitic Hieroglyphs,Mero,100,,
Malayalam,Mlym,347,,
"Modi, Moḍī",Modi,324,,
Mongolian,Mong,145,,
"Moon (Moon code, Moon script, Moon type)",Moon,218,,
"Mro, Mru",Mroo,264,,
"Meitei Mayek (Meithei, Meetei)",Mtei,337,,
Multani,Mult,323,,
Myanmar (Burmese),Mymr,350,,
Old North Arabian (Ancient North Arabian),Narb,106,,
Nabataean,Nbat,159,,
"Newa, Newar, Newari, Nepāla lipi",Newa,333,,
"Naxi Dongba (na²¹ɕi³³ to³³ba²¹, Nakhi Tomba)",Nkdb,85,,
"Nakhi Geba (na²¹ɕi³³ gʌ²¹ba²¹, 'Na-'Khi ²Ggŏ-¹baw, Nakhi Geba)",Nkgb,420,,
N’Ko,Nkoo,165,,
Nüshu,Nshu,499,,
Ogham,Ogam,212,,
"Ol Chiki (Ol Cemet’, Ol, Santali)",Olck,261,,
"Old Turkic, Orkhon Runic",Orkh,175,,
Oriya (Odia),Orya,327,,
Osage,Osge,219,,
Osmanya,Osma,260,,
Palmyrene,Palm,126,,
Pau Cin Hau,Pauc,263,,
Old Permic,Perm,227,,
Phags-pa,Phag,331,,
Inscriptional Pahlavi,Phli,131,,
Psalter Pahlavi,Phlp,132,,
Book Pahlavi,Phlv,133,,
Phoenician,Phnx,115,,
Klingon (KLI pIqaD),Piqd,293,,
Miao (Pollard),Plrd,282,,
Inscriptional Parthian,Prti,130,,
Reserved for private use (start),Qaaa,900,,
(Private use),Qaai,908,,
Reserved for private use (end),Qabx,949,,
"Rejang (Redjang, Kaganga)",Rjng,363,,
Hanifi Rohingya,Rohg,167,,
Rongorongo,Roro,620,,
Runic,Runr,211,,
Samaritan,Samr,123,,
Sarati,Sara,292,,
Old South Arabian,Sarb,105,,
Saurashtra,Saur,344,,
SignWriting,Sgnw,95,,
Shavian (Shaw),Shaw,281,,
"Sharada, Śāradā",Shrd,319,,
Shuishu,Shui,530,,
"Siddham, Siddhaṃ, Siddhamātṛkā",Sidd,302,,
"Khudawadi, Sindhi",Sind,318,,
Sinhala,Sinh,348,,
Sogdian,Sogd,141,,
Old Sogdian,Sogo,142,,
Sora Sompeng,Sora,398,,
Soyombo,Soyo,329,,
Sundanese,Sund,362,,
Syloti Nagri,Sylo,316,,
Syriac,Syrc,135,,
