Role,Description,Code
Acquirer,"A publisher that acquires some or all of the ownership from an Original Publisher, but yet the Original Publisher still controls the work.",AQ
Administrator,An interested party that collects royalty payments on behalf of a publisher that it represents.,AM
Income Participant,A person or corporation that receives royalty payments for a work but is not a copyright owner.,PA
Original Publisher,The interested party which has acquired by agreement with a composer and/or author rights in one or more works for a stipulated territory and duration.,E
Substituted Publisher,A publisher acting on behalf of publisher or sub-publisher.,ES
Sub Publisher,The interested party which has acquired by agreement with a publisher rights in one or more works for a stipulated territory and duration.,SE
