Name ,Transmitter Code,Territory,Primary IPI Name Number ,Start Date ,End Date ,Unnamed: 6,*Incorporates former CWR Submitter ID codes and current CISAC Society Codes
Bucks Music Italia Srl,BUX,,123582589,2010-04-01 00:00:00,,,
Bucks Music Limited,BK,,55248283,19/07/2004,,,
BUCUDA,6,Central Afr Rep, ,,,,
Budde Music Scandinavia,BUD,,624652550,18/01/2011,,,
Budde Music Uk,BUD,,567790301,18/01/2011,,,
Bug Music B V,BL,,204488674,2009-09-02 00:00:00,,,
BUG MUSIC BENELUX B.V.,BL,,571724052,2009-09-02 00:00:00,,,
BUG MUSIC BENELUX TQ,BL,,571724150,2009-09-02 00:00:00,,,
BUG MUSIC BENELUX WINDSWEPT,BL,,572102286,2009-09-02 00:00:00,,,
BUG MUSIC LIMITED,BL,,176871136,17/02/2003,  ,,
"BUG MUSIC, INC.",BU,,36210128,17/08/1999,,,
BUMA,23,Netherlands, ,,,,
BUMDA,16,Mali, ,,,,
BURAFO,177  ,Netherlands,,,,,
BURIDA,24,Ivory Coast, ,,,,
BUS,152,Sweden,,,,,
Business Nieuws Holding Bv,BNH,,637426829,2015-03-11 00:00:00,,,
BUTODRA,130,Togo,,,,,
C2w Music Ltd,CWW,,698695161,2013-12-04 00:00:00,,,
Cafe' Concerto International S,CIN,,583260740,27/01/2017,,,
Cafe' Concerto Italia Ed Mus,CIT,,423433979,27/01/2017,,,
Cafe Concerto S R L,CAF,,184962039,22/04/2010,,,
CAL,178  ,Australia,,,,,
Cam Cine TV Music Inc ,CC,,52018026,1999-09-12 00:00:00,  ,,
Campbell Connelly Holland Bv,CCH,,271288359,24/02/2015,,,
Candid Music Publishing Limited,CAN,,473087148,28/03/2011,,,
CAPAC,27,Canada, ,,,,
,,,,,,,
Care Bears Music,RMW,,201708118,19/04/2011,,,
Carlin Music Corp,CAR,,5223240,24/09/2013,,,
Carthage Music Limited,CTH,,416253970,2017-03-05 00:00:00,,,
Casablanca Media Publishing Inc,CMP,,296767105,18/03/2005,,,
CASH,26,Hong Kong, ,,,,
Cavendish-Music-Co-Ltd,CAV,,5637400,16/02/2017,,,
CCL,306,Trinidad And Tobago,,,,,
Ccs Rights Management Corp I,CCS,,662121476,2012-12-07 00:00:00,,,
Ceg Rights B.V.,CEG,,705206186,25/02/2014,,,
Ceg Rights Usa,AAL,,711581465,17/12/2013,,,
Centricity Music Publishing,CEN,,468824412,2012-11-10 00:00:00,,,
Centricity Songs,CEN,,532282865,15/11/2012,,,
Cezame Music Uk Limited,CEZ,,659512324,2015-01-06 00:00:00,,,
CHA,108,Taiwan, ,,,,
Cherry Lane ,CH,,6014735,29/09/1999,.   ,,
Chrysalis Music,CHR,,128481959,19/04/2011,,,
CHRYSALIS MUSIC LTD,CHR,,39991729,2004-11-11 00:00:00,,,
Chrysalis One Music,CHO,,615824351,19/04/2011,,,
Chrysalis One Publishing Uk Ltd,CHO,,616432171,2010-06-09 00:00:00,,,
Chrysalis One Sweden,CHO,,616928132,2010-06-09 00:00:00,,,
CHRYSALIS SONGS BENELUX,CHR,,590664327,2009-10-12 00:00:00,,,
Cloud 9 Holland Music Publishing,CL9,,466551142,17/02/2015,,,
CMRRA,88,Canada, ,,,,
CODISCOS S A,CDC,,478650219,26/04/2010,,,
COLLECT MUSIC PUBLISHERS BV,COL,,483715826,17/04/2007,,,
Compact Collections Ltd,COM,,600865859,2016-04-01 00:00:00,,,
Compact Music Services Ltd,CMS,,646140069,20/01/2016,,,
COMPASS,106,Singapore, ,,,,
Conexion Media Group Inc,CMI,,627689894,26/02/2014,,,
Conexion Media Group Inc,CON,,627689894,2012-04-04 00:00:00,,,
Conexion Music Limited,CMI,,584135442,19/06/2014,,,
Conexion Music Limited,CON,,584135442,27/02/2014,,,
Cooking Vinyl Publishing,CVP,,630343877,2013-04-09 00:00:00,,,
COPY-DAN BILLEDKUNST,139,Denmark,,,,,
Copyright Administration Services Limited,CAS,,502643585,2011-10-10 00:00:00,,,
Copyright Power International B V,CPI,,503060215,15/07/2010,,,
Copyright.Net ,CN,,204966565,30/01/2000,.   ,,
COPYRO,179  ,Romania,,,,,
Corbeau Publishing Scandinavia Ab,COR,,267803837,29/04/2010,,,
Cordova Bay Mus Pubg Ii,CBE,,531881354,19/05/2015,,,
Cordova Bay Music Publishing,CBE,,279496894,19/05/2015,,,
COSCAP,180  ,Barbados,,,,,
COSGA,123,Ghana, ,,,,
COSOMA,124,Malawi, ,,,,
COSOTA,223,"Tanzania, United Republic Of",,,,,
COTT,96,Trinidad & Tobago, ,,,,
CP MASTERS BELGIUM,CPM,,563928515,14/10/2008,,,
Cp Masters Scandinavia,CPS,,601006421,13/08/2010,,,
CPSN,181  ,Nepal,,,,,
CREAIMAGEN,182  ,Chile,,,,,
Criskos Music,CRI,,827747797,14/02/2017,,,
CROSSROAD PUBLISHING,CRO,,427513762,20/02/2007,,,
CSCS,183  ,Canada,,,,,
CTM Entertainment Belgium,CTM,,753309443,17/10/2014,,,
CV America Music,CVA,,687177002,2014-03-06 00:00:00,,,
DACS,153,United Kingdom,,,,,
DALRO,142,South Africa,,,,,
Dan Hodges Publishing Llc,DHM,,554652439,22/10/2009,,,
David Media,DAV,,250568078,2012-09-07 00:00:00,,,
Deep East Music Ltd,DEM,,532423974,25/02/2013,,,
Defensive Music Ltd,DEF,,649703812,24/05/2012,,,
Dennis Music International Ltd,DEN,,40105935,2010-04-08 00:00:00,,,
Dennis Music Limited (Gb),DML,,249145656,2010-04-08 00:00:00,,,
DGA,184  ,United States,,,,,
Di Piu S R L,DP,,161589356,2010-04-01 00:00:00,,,
DILIA ,31,Czech Republic,,,,,
DIRECTORES,185  ,Mexico,,,,,
Discovering Arts Music Group Edition,ART,,682686891,29/08/2012,,,
Discovery Trademark Holding,DSC,,402357001,19/04/2011,,,
DISCOVERY TRADEMARK HOLDING COMPANY INC,DT,,402357001,22/08/2008,,,
District 6 Music Publishing Limited,D6M,,615325863,2013-06-12 00:00:00,,,
District 6 Music Publishing Limited,EPM,,615325863,2010-07-09 00:00:00,2013-05-12 00:00:00,,
DIVA,310,Hong Kong,,,,,
Dj Publishing,DJP,,472380650,2015-05-08 00:00:00,,,
Dna Musik Gmbh,DNA,,601961958,13/05/2013,,,
Dne Music Publishing Limited,DM,,507134091,2010-03-08 00:00:00,,,
Do Diese Editions,DOD,,148960539,2013-08-04 00:00:00,,,
DOMINO PUBLISHING COMPANY LIMITED,DOM,,480281853,2009-12-02 00:00:00,,,
DOMINO PUBLISHING COMPANY SCANDINAVIA,DOM,,556729609,2009-05-03 00:00:00,,,
Doorn Music Publishing,DO,,662295823,30/01/2015,,,
Downtown Dlj Songs,DOW,,647171538,2012-06-03 00:00:00,,,
Downtown Dmp Songs,DOW,,508176945,21/06/2011,,,
Downtown Music Benelux,DTN,,747639598,24/11/2014,,,
Downtown Music Uk Limited,EIM,,808728415,2011-12-10 00:00:00,,,
DP,0,Public Domain, ,,,,
DPRS,145,United Kingdom,,,,,
DRCC,186  ,Canada,,,,,
Dreamer Music Publishing Cc,DMP,,573663228,2012-12-10 00:00:00,,,
DUCHAMP INCD/B/A,DUC,,627938311,13/12/2016,,,
E T Music Publishing,ETM,,455793515,14/06/2016,,,
Easy Tempo Europe Sl,ETE,,688921389,21/02/2014,,,
Easy Tempo Too,ETT,,671667024,18/10/2013,,,
Eaton Music Ltd,EAT,,86203875,2010-07-05 00:00:00,,,
EAU,116,Estonia, ,,,,
ECAD,308,Brazil,,,,,
Edition Bjorlund,EDB,,645926025,29/11/2016,,,
Editions Img Liechti Et Cie,IMG,,458511349,2012-12-04 00:00:00,,,
EDITORA COMPANIA COLOMBIANA DE DISCOS S A,CDC,,478650121,26/04/2010,,,
Editorial Avenue,EDA,,291278447,28/10/2013,,,
EMI,EMI,,223437493,2002-10-09 00:00:00,,,
EMI CHRISTIAN MUSIC PUBLISHING,EMC,,257557533,2007-06-07 00:00:00,,,
Emi Music Publishing Italia Srl,EMI,,241326402,2010-04-01 00:00:00,,,
EMI MUSIC PUBLISHING LTD,EMI,,223437493,2002-10-09 00:00:00,,,
Emp Elements Music Publishing,EMO,,738771798,30/05/2016,,,
Encore Merci,ECM,,149762733,2015-07-07 00:00:00,,,
ENDEMOL MUSIC NEDERLAND,END,,506141788,2006-10-11 00:00:00,,,
Engine Co 35 Music Publishing,FIV,,405227591,30/06/2011,,,
Ep Music Limited,EPM,,528966898,2010-07-09 00:00:00,2013-05-12 00:00:00,,
Epm Electronic,EP,,771394910,2016-08-09 00:00:00,,,
Epm Music Usa,EP,,767119320,2016-08-09 00:00:00,,,
Epm Online,EP,,600428984,2016-08-09 00:00:00,,,
ESCAPE THE ORDINARY MUSIC,AE,,438585813,26/02/2009,,,
European Media Support (Ems) Bv,EMS,,267602262,2015-03-11 00:00:00,,,
Exhibeo North America,EXH,,757578975,14/10/2015,,,
Exhibeo Publishing,EXH,,759822101,17/03/2015,,,
Extrapolate Music,USE,,702487159,2017-12-01 00:00:00,,,
EXTREME AUSTRALIA PTY LTD,EXT,,400308324,2006-01-11 00:00:00,,,
EXTREME PRODUCTION MUSIC USA,EXT,,345600874,2006-01-11 00:00:00,,,
Face Three Music,TSM,,591229440,2011-09-03 00:00:00,,,
Faircloud Music,FCM,,701162889,14/02/2017,,,
Fairwood Music (Germany) Gmbh,FMG,,471891918,16/04/2010,,,
Fairwood Music Italia Srl,FWI,,493749994,2010-04-01 00:00:00,,,
Fairwood Music Ltd,FWD,,159896501,21/06/2012,,,
Famous Music Corporation ,FA,,9740391,2000-07-03 00:00:00,  ,,
Fanfan Music Liechti & Cie,FAN,,692114744,2013-08-04 00:00:00,,,
Farrell Music Limited,FAR,,593191135,42011,,,
Fc Walvisch Bv,FCW,,284426746,2015-03-11 00:00:00,,,
FILMAUTOR,147,Bulgaria,,,,,
FILSCAP,32,Philippines, ,,,,
Final Cue Music Library,FCU,,774969176,13/07/2015,,,
Final Mix Online Cc,FMO,,538273242,2015-10-03 00:00:00,,,
FINTAGE PUBLISHING AND COLLECTION B.V.,FIN,,274063276,2006-10-11 00:00:00,,,
FIREWORKS MUSIC LTD,FWM,,122369494,2009-03-07 00:00:00,,,
Firstcom ,FC,,126621002,  ,  ,,
Firstworks Music International Limited,FMI,,642290754,28/11/2012,,,
FLIM JUS,187  ,Hungary,,,,,
Fm Entretenimiento Sas,FME,,230301732,14/06/2016,,,
FONOPERU,188  ,Peru,,,,,
FOX ,FX,,214142125,22/05/2000,  ,,
Fox Fuse Llc,FXF,,719754802,14/04/2016,,,
Frederic Leibovitz Editeur,FLE,,146928641,15/11/2011,,,
Freibank Musikverlage Mark Chung E. K.,FBM,,216373875,20/06/2012,,,
Frog Music,FRM,,245694050,23/05/2017,,,
G 7 Music,G7M,,286256634,30/10/2015,,,
Galileo Music Communication Gmbh,GMC,,530120615,21/10/2013,,,
Galleryac Music,ACM,,600491389,24/04/2017,,,
Gelfand Rennert & Feldman Publishing,GRF,,784585977,24/09/2015,,,
GEMA,35,German Fed Rep, ,,,,
Georgia Tunes,RMW,,557257230,26/01/2010,,,
Gerard Et Jerome Music,GJM,,621722085,2015-03-11 00:00:00,,,
GESAC,301,Belgium,,,,,
GESTOR,232,Czech Republic,,,,,
GIA Publications Inc. ,GP,,249800554,2000-03-05 00:00:00,  ,,
Gismonti Edition,GIS,,54166194,2013-08-04 00:00:00,,,
Gl Music A/S,GLM,,616058067,42559,,,
Global Entertainment Songs,GTP,,768972274,23/11/2015,,,
Global Talent Publishing,GTP,,154214697,23/11/2015,,,
Good Sounds Amsterdam Publishing Bv,GSA,,541906163,2015-03-11 00:00:00,,,
Good-Tunes-Music Ag,GOT,,62947262,2013-08-04 00:00:00,,,
Greengate Media,GGM,,590527731,2017-05-04 00:00:00,,,
GREENSLEEVES PUBLISHING LIMITED,GRE,,46955058,24/07/2009,,,
Grow Your Own Music,ASM,,468164333,19/04/2011,,,
HAA,144,Croatia,,,,,
Hacate Scandinavia,HAC,,750128760,24/11/2014,,,
HANS KUSTERS MUSIC,HKM,,48155968,2008-09-10 00:00:00,,,
Harry Fox ,HF,,  ,  ,  ,,
HARRY FOX AGENCY,34,USA, ,,,,
Have We Got Music For You,HWG,,478853791,17/04/2017,,,
HDS-ZAMP,111,Croatia, ,,,,
High Fashion Music Bv,HFM,,254462469,25/03/2015,,,
Hillsong Music Publishing Uk,HSP,,664621047,2015-04-03 00:00:00,,,
HILLSONG PUBLISHING,HSP,,268140271,2008-03-03 00:00:00,,,
HMS,189  ,Saint Lucia,,,,,
Hodges House Of Songwriters,DHP,,575114258,22/02/2017,,,
HORNALL BROTHERS MUSIC,HB,,261774357,,,,
Horus Music,HM,,509033087,21/05/2015,,,
Hot Streak Music B.V.,HOT,,680144065,25/07/2012,,,
House Of Global Entertainment,GTP,,769033519,23/11/2015,,,
HTE,HTE,,511290887,16/11/2016,,,
HTV MUSIC,AE,,451851458,26/02/2009,,,
HUNGART,154,Hungary,,,,,
ICG,229,United States,,,,,
ICE,319,,,,,,
IDM MUSIC LTD,IDM,,346234962,2008-12-12 00:00:00,,,
IMJV,305,Netherlands,,,,,
IMRAS ,IM,,445728241,14/11/2003,  ,,
IMRO,128,Ireland,,,,,
Ingrooves,IMP,,438087734,2015-06-05 00:00:00,,,
International-Universal Muzik Taksim Edisyon A S,UMT,,571318946,2010-06-07 00:00:00,,,
Intervox Production Music Publishing Gmbh,IVX,,547358327,23/08/2012,,,
Interzone Music Publishing Ltd,INT,,264311588,26/06/2012,,,
IPRS,36,India, ,,,,
JACAP,190  ,Jamaica,,,,,
JACK RUSSELL MUSIC LIMITED,JRM,,519369427,22/04/2009,,,
JANMAR MUSIC,JAN,,48696434,,,,
JASRAC,38,Japan, ,,,,
Jingle Punks Music,JPM,,568648100,2012-11-07 00:00:00,,,
Jrm Music,MGT,,129857241,18/12/2009,,,
JUST TOM,MLG,,536109367,2014-07-08 00:00:00,,,
KALAN MUZIK FILM VE YAYIM LIMITED SIRKETI ,KAL,,791604721,15/11/2016,,,
KASSNER ASSOCIATED PUBLISHERS LIMITED,KAP,,425343968,23/09/2005,,,
KAZAK,191  ,Kazakhstan,,,,,
KCI,109,Indonesia, ,,,,
Keep Clear Music Limited,KCM,,750546346,2015-04-03 00:00:00,,,
Kew Music B.V.,KEW,,131183510,31/07/2015,,,
Kingsway Music,KWM,,435348848,2012-04-06 00:00:00,,,
Know Your Rights,KYR,,795703992,22/03/2016,,,
Kobalt Music Publishing Italia,KOB,,456474529,2010-04-01 00:00:00,,,
KOBALT MUSIC PUBLISHING LTD (KMP),KOB,,296955301,2003-05-09 00:00:00,,,
Kobalt Songs Music Publishing ,KM,,296955301,18/11/2003,,,
KODA,40,Denmark, ,,,,
KOMCA,118,South Korea, ,,,,
KOPIOSTO,138,Finland,,,,,
KOSA,192  ,Korea Republic Of,,,,,
KUVASTO,193  ,Finland,,,,,
KVN PUBLISHING PTY LTD,KVN,,782389399,15/11/2016,,,
KYRGYZPATENT,194  ,Kyrgyzstan,,,,,
LAA,113,Latvia, ,,,,
LARRY SPIER INC,MLG,,496697575,2014-07-08 00:00:00,,,
LATGA-A,110,Lithuania, ,,,,
LATINAUTOR,302,Uruguay,,,,,
LATINNET,309,Spain,,,,,
Le Grand Divertissement B.V.,LGD,,827030462,22/12/2016,,,
Les Editions Du 22 Decembre,22D,,450628759,2010-04-11 00:00:00,,,
LIONHEART MUSIC AB,LIO,,518001398,2007-10-09 00:00:00,,,
LIRA,120,Netherlands,,,,,
LITA,28,Slovakia,,,,,
LITERAR-MECHANA,41,Austria,,,,,
Little Assembly Limited,LAL,,836953301,19/05/2017,,,
Little Brother Music Inc,LBM,,817919111,2017-03-03 00:00:00,,,
London Publishing House,LPH,,47938051,2005-12-07 00:00:00,,,
Long Lunch Music Limited,SOH,,647055441,2012-12-01 00:00:00,,,
Lorenz Corporation The,LOR,,130970590,13/08/2010,,,
LVG,42,Austria,,,,,
Lx-Editora-Lda,LXE,,257008183,2011-01-07 00:00:00,,,
Machiavelli Music Publishing,MMP,,460401791,2016-11-04 00:00:00,,,
Macloud Bv,MAC,,730990926,2015-06-11 00:00:00,,,
MACP,104,Malaysia, ,,,,
Magic Arts Musikverlag Inh. Oliver Withoeft E.K.,MAG,,658143825,18/07/2013,,,
Magic Arts Publishing Ltd,MAG,,282862048,18/07/2013,,,
Magic Arts Publishing Usa,MAG,,333861660,18/07/2013,,,
Make Sense,MAK,,447654626,2013-08-04 00:00:00,,,
Maktub Music Publishing,TUB,,690862021,14/07/2016,,,
Map Catalogs,MSI,,610875064,22/04/2011,,,
Mars Music Ab,MAR,,586872783,28/09/2012,,,
Mars Music Scandinavia,MAR,,675558300,28/09/2012,,,
MASA,105,Mauritius, ,,,,
Massive Publishing Bv,MSV,,471454847,29/03/2012,,,
Masstrax Music Net,MAS,,661395530,22/02/2012,,,
MCA Music Publishing ,MU,,339622745,27/10/1999,30/03/2001,,
MCPS,44,United Kingdom, ,,,,
Mcs Italia Ltd,MCS,,514177665,2010-04-01 00:00:00,,,
MCS MUSIC LIMITED,MCS,,405912183,13/11/2007,,,
MCSC,119,China, ,,,,
MCSK,43,Kenya, ,,,,
MCSN,22,Nigeria, ,,,,
MCT,126,Thailand,,,,,
Me Gusta 30 Music,MGM,,647694891,15/05/2017,,,
Me Gusta Blue Music,MGM,,802257565,15/05/2017,,,
Me Gusta Green Music,MGM,,802264178,15/05/2017,,,
Me Gusta Music,MGM,,741485535,15/05/2017,,,
Me Gusta Red Music,MGM,,796837761,15/05/2017,,,
MEDIAN MUSIC INTERNATIONAL,MNF,,575605038,2009-06-01 00:00:00,,,
MEDIAN MUZIK EDISYON LIMITED SIRKETI,MND,,575604531,2009-06-01 00:00:00,,,
Megatrax Music,MT,,186762429,19/04/2011,,,
MEMORY LANE MUSIC CORP,MLG,,20440541,2014-07-08 00:00:00,,,
MEMORY LANE MUSIC LTD,MLG,,46880066,2014-07-08 00:00:00,,,
MESAM,117,Turkey, ,,,,
Mike Curb Music,MCM,,72077386,2014-12-12 00:00:00,,,
MISASIA,307,Singapore,,,,,
Missing Link Music Llc,MLM,,257809238,25/04/2013,,,
Misty Music Ab,MIS,,205767860,2013-12-02 00:00:00,,,
Mmghq Ltd.,MMG,,678883861,2013-02-10 00:00:00,,,
MONCUR STREET MUSIC LTD,MO,,267196827,27/04/2004,,,
Mondiamusic,MON,,21202261,2013-08-04 00:00:00,,,
MONKEYFACTORY,PIG,,487180231,2007-03-05 00:00:00,,,
More Me Gusta Music,MGM,,653166544,15/05/2017,,,
Motus Music Limited,MOT,,833218453,2017-01-06 00:00:00,,,
Mpl Communications Ltd,MPL,,47821473,2013-02-07 00:00:00,,,
MRS,46,United Kingdom, ,,,,
MSG,195  ,Turkey,,,,,
Msi Music Administration,MSI,,128852164,14/03/2012,,,
Msi Music Administration,MSI,,642570551,22/04/2011,14/03/2012,,
Mummy Dust Music Ltd,MDM,,85379634,2016-09-12 00:00:00,,,
MUSHROOM MUSIC PTY LTD,MSH,,71904874,31/08/2007,,,
Music And Images Gmbh,MI,,580093355,27/05/2010,,,
Music By Tafari Inc,MBT,,532770850,2011-07-09 00:00:00,,,
Music Of The Mothership,MOM,,709648806,2017-05-06 00:00:00,,,
Music Sales Corporation / Embassy ,MS,,61094890,25/08/1999,  ,,
Music Sales LTD ,ML,,133347789,16/04/2003,  ,,
Musicallstars Bv,MA,,277979684,2014-10-03 00:00:00,,,
MUSICAUTOR,39,Bulgaria, ,,,,
Musicdirector Bv,MD,,209313888,2015-01-01 00:00:00,,,
MUSIKEDITION,196  ,Austria,,,,,
Musinfo Les Editions,MSO,,133207121,2015-10-04 00:00:00,,,
Musiqware Ltd,MWL,,588436204,26/06/2012,,,
MUST,161,Taiwan (Province Of China),,,,,
Mute Song,MUS,,162172689,2005-04-08 00:00:00,,,
Muziekuitgeverij Chrijoe,MCH,,621922173,16/03/2017,,,
Muzikal Productions Entertainment Volkan Guecer,MZK,,623497339,25/08/2011,,,
Mymusicrights Publishing,MYM,,610808573,2012-01-02 00:00:00,,,
Nada Music Gmbh,NMG,,52254306,18/03/2014,,,
Nanada B V,NAN,,217651966,22/10/2015,,,
NASCAM,102,Namibia, ,,,,
Native Tongue Music Publishing,NTM,,161238688,15/11/2012,,,
NCB,48,Scandinavia, ,,,,
NETTWERK MUSIC PUBLISHING (CA),NET,,270307395,22/10/2008,,,
NETTWERK ONE MUSIC CANADA LTD,NET,,482305660,22/10/2008,,,
NETTWERK SONGS PUBLISHING LTD,NET,,442773058,22/10/2008,,,
New Thunder Music Co,WWM,,35541597,18/11/2015,,,
